"","Model","Term","Estimate","Lower 95% CI","Upper 95% CI","Rhat"
"1","Terrestrial global change drivers across databases and the world","b_intercept",0.51792296325598,0.507414653733521,0.527886833773908,1.00208074847362
"2"," ","b_samplinglivingplanet",0.0698002588477555,0.0578153977408302,0.0810813901328895,1.00138213831542
"3"," ","b_samplingbiotime",-0.143738641698424,-0.157228868786281,-0.130986054230491,1.00185078497488
"4"," ","b_samplingpredicts",-0.0235633452882491,-0.0379071307727324,-0.00973123832097683,1.00129365140922
"5"," ","b_drivercumulative",-0.109118168468249,-0.123076493059074,-0.0941977937633478,1.00167564265724
"6"," ","b_driverhuman_population",-0.379259258310384,-0.392726443706523,-0.364602424383975,1.001712795614
"7"," ","b_driverhuman_use",-0.112942160264083,-0.126882792521858,-0.0983732045060762,1.00133177334808
"8"," ","b_driverinvasions",-0.350107967974177,-0.365032269663094,-0.335861007730122,1.00130841815977
"9"," ","b_driverpollution",-0.289966784536664,-0.304735656234526,-0.276474660429671,1.00080520596519
"10"," ","b_samplinglivingplanet.drivercumulative",0.0723649084066636,0.055982217714676,0.0889782911531798,1.00139226440135
"11"," ","b_samplingbiotime.drivercumulative",0.390958366295675,0.371986882284805,0.408582582098793,1.00173281835736
"12"," ","b_samplingpredicts.drivercumulative",0.198708916905916,0.178738483261921,0.217653718340491,1.00077874258242
"13"," ","b_samplinglivingplanet.driverhuman_population",0.297882968717272,0.282226444944227,0.314864512511626,1.00108493317085
"14"," ","b_samplingbiotime.driverhuman_population",0.722925865670878,0.70581351327216,0.741936976264475,1.00153015967867
"15"," ","b_samplingpredicts.driverhuman_population",0.568110313943976,0.549203814254375,0.587878296467352,1.00120322189975
"16"," ","b_samplinglivingplanet.driverhuman_use",-0.0606048224984933,-0.0770260534014073,-0.0441824698840295,1.00085578546785
"17"," ","b_samplingbiotime.driverhuman_use",0.328412357447563,0.310698511607068,0.346892169702349,1.00126077794775
"18"," ","b_samplingpredicts.driverhuman_use",0.198432454422964,0.179019729388064,0.218733681367989,1.00099108183937
"19"," ","b_samplinglivingplanet.driverinvasions",0.361754660799082,0.34474277561263,0.377715593366199,1.00100897588818
"20"," ","b_samplingbiotime.driverinvasions",0.786631913713659,0.767342971075231,0.804646730927513,1.00193568411548
"21"," ","b_samplingpredicts.driverinvasions",0.551289171061796,0.530739500939574,0.570987632035841,1.00024140148874
"22"," ","b_samplinglivingplanet.driverpollution",0.219339932895114,0.20366501150998,0.236180837285829,1.00048245678362
"23"," ","b_samplingbiotime.driverpollution",0.674658073485896,0.65665828867492,0.692807271540226,1.00096040421944
"24"," ","b_samplingpredicts.driverpollution",0.432421414928147,0.413435635644734,0.452765193819758,1.00013938802872
"25"," ","sigma",0.23089302796124,0.229819222329757,0.232026656164841,1.00007720297168
"26","Marine global change drivers across databases and the world","b_intercept",0.484473401793728,0.459835653449433,0.507378987638296,1.00049711595581
"27"," ","b_samplinglivingplanet",0.00215211124446657,-0.0238909090271769,0.0272759435700023,1.00049158616197
"28"," ","b_samplingbiotime",0.0132480894797671,-0.0100442611117645,0.0373305481545995,1.00049536002952
"29"," ","b_drivercumulative",-0.0299029750691902,-0.0638627576808786,0.00370515561034687,1.00111145314895
"30"," ","b_driverhuman_population",-0.193635814160747,-0.225738408282128,-0.157178942279722,1.00060902921444
"31"," ","b_driverhuman_use",-0.109818741333775,-0.143666578736017,-0.0763750021014467,1.0003672634737
"32"," ","b_driverinvasions",-0.133455463367127,-0.167733573863658,-0.100650428198743,1.00021353608788
"33"," ","b_driverpollution",-0.155057876170302,-0.188354567044144,-0.121065760719471,0.999985127119474
"34"," ","b_samplinglivingplanet.drivercumulative",0.121465694914712,0.0852129676856175,0.159696293807539,1.00100192970656
"35"," ","b_samplingbiotime.drivercumulative",0.107172347764549,0.0731596438460381,0.140908067847778,1.00103494598778
"36"," ","b_samplinglivingplanet.driverhuman_population",0.158197546767599,0.122616851737714,0.196462751780255,1.00079272892755
"37"," ","b_samplingbiotime.driverhuman_population",0.00620059893915845,-0.0278340314730985,0.0407421686350509,1.00061282568608
"38"," ","b_samplinglivingplanet.driverhuman_use",0.211943170913711,0.175293117120484,0.247953989758137,1.00051258410485
"39"," ","b_samplingbiotime.driverhuman_use",0.228040609188475,0.19400191234793,0.262024185223354,1.00032649999981
"40"," ","b_samplinglivingplanet.driverinvasions",0.201052910354059,0.164676879220712,0.236240302111988,1.00016821490769
"41"," ","b_samplingbiotime.driverinvasions",0.134019297933811,0.100483550641418,0.167628416258677,1.00027439232002
"42"," ","b_samplinglivingplanet.driverpollution",0.191876123748692,0.155894893474844,0.22870098866852,1.00003763672065
"43"," ","b_samplingbiotime.driverpollution",0.165528405489224,0.1315868364293,0.198964855106806,0.999987215736366
"44"," ","sigma",0.27383922124687,0.273223910471146,0.274469867208525,0.999774501263963
"45","Terrestrial temperature change (Living Planet Database)","b_intercept",0.0109499892067228,0.00897513830498729,0.0128035235499697,1.00031293153671
"46"," ","b_periodduringmonitoring",0.0173997105197138,0.0148579073466076,0.0201548445230528,1.0001947331679
"47"," ","sigma",0.0804779913068952,0.0795649380855318,0.0814177449640715,1.00011466839117
"48","Marine temperature change (Living Planet Database)","b_intercept",0.00396982742694179,0.00124493555863028,0.00655872373362598,1.00004043566959
"49"," ","b_periodduringmonitoring",0.0128087218173482,0.00927859955941331,0.0168566942090202,1.00003844265824
"50"," ","sigma",0.0496201586069573,0.0482921108417789,0.0510006722612655,0.99998972684756
"51","Terrestrial temperature change (BioTIME)","b_intercept",0.0272495205113612,0.0238353652251748,0.0309127136420701,1.00026019643014
"52"," ","b_periodduringmonitoring",-0.0114917998811685,-0.0166171206115214,-0.00656028561738698,1.00015645923562
"53"," ","sigma",0.103741494440027,0.102040833536717,0.105486069886739,1.00018605572761
"54","Marine temperature change (BioTIME)","b_intercept",0.0104342885497182,0.0093738768832786,0.0115320536180696,1.00006833470137
"55"," ","b_periodduringmonitoring",0.00832690342704674,0.00693153988153824,0.00990355340783712,0.999918586950398
"56"," ","sigma",0.0578359798955045,0.0573310463080482,0.058394615709828,1.00018119673352
